Date,open,high,low,code,close,pctChg,volume,amount,turn
1995-01-16,591.0600,591.3200,584.8800,sh.000001,588.81,-1.510442,37365100,263008976.0000,0.003493
1995-01-17,591.8100,595.0200,586.6000,sh.000001,587.94,-0.147755,35000100,203456368.0000,0.003272
1995-01-18,588.5300,593.6500,586.9900,sh.000001,593.64,0.969489,31566300,177038048.0000,0.002951
1995-01-19,589.7000,593.1000,571.3600,sh.000001,571.72,-3.692481,41755800,238203504.0000,0.003903
1995-01-20,566.8100,578.5300,559.6600,sh.000001,571.24,-0.083954,43580300,270005856.0000,0.004074
1995-01-23,564.8600,565.0400,553.1100,sh.000001,553.44,-3.116026,37217700,198999648.0000,0.003479
1995-01-24,552.7800,559.3400,547.3800,sh.000001,547.57,-1.060638,39115000,248520992.0000,0.003647
1995-01-25,550.2700,558.5800,550.2700,sh.000001,555.77,1.497528,37848000,241254096.0000,0.003529
1995-01-26,553.9100,555.2600,551.1400,sh.000001,553.11,-0.478621,32339100,182835344.0000,0.003015
1995-01-27,552.9500,564.6100,552.9300,sh.000001,562.59,1.713952,55862700,229763776.0000,0.005208
1995-02-06,559.7800,559.8400,532.9100,sh.000001,533.72,-5.131633,29873100,169662336.0000,0.002780
1995-02-07,532.1100,536.6300,524.4300,sh.000001,532.49,-0.230454,27175500,130252912.0000,0.002529
